
Task	Done	Delay	Skip	Start		Range Start	Range End	Interval		Is-Due	Last Done	Effort	Start Task At	Earliest Completed	Sync Due		Archive
																	
Wash Adults	FALSE		FALSE	FALSE				0		FALSE	7/10/26			4/12/2026			FALSE
Dry Adults	FALSE		FALSE	FALSE				0		FALSE	7/10/26			4/12/2026			FALSE
Fold Adults	FALSE		FALSE	FALSE				0		FALSE	7/10/26			5/23/2026			FALSE
Put Away Adults	FALSE		FALSE	FALSE				0		FALSE	7/10/26			5/23/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Adults Bathroom	FALSE		TRUE	FALSE				8!		TRUE	8/2/26			3/28/2026			FALSE
Dry Adults Bathroom	FALSE		TRUE	FALSE				8!		TRUE	8/2/26			3/28/2026			FALSE
Put Away Adults Bathroom 	FALSE		TRUE	FALSE				8!		TRUE	8/2/26			5/2/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Adults Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Dry Adults	FALSE		FALSE	FALSE				0		FALSE							FALSE
Fold Adults	FALSE		FALSE	FALSE				0		FALSE							FALSE
Put Away Adults	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Reds	FALSE		FALSE	FALSE				30!		FALSE	8/30/26			4/2/2026			FALSE
Dry Reds	FALSE		FALSE	FALSE				30!		FALSE	8/30/26			5/2/2026			FALSE
Fold Reds	FALSE		FALSE	FALSE				30!		FALSE	8/30/26			4/5/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Whites	FALSE		FALSE	FALSE				30		FALSE	9/1/26			9/1/2026			FALSE
Dry Whites	FALSE		FALSE	FALSE				30		FALSE	9/1/26			4/26/2026			FALSE
Fold Whites	FALSE		FALSE	FALSE				30		FALSE	9/1/26			4/26/2026			FALSE
Put away Whites	FALSE		FALSE	FALSE				30		FALSE	9/1/26			9/1/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Whites Adhoc	FALSE		FALSE	FALSE				0		FALSE	1/10/26						FALSE
Dry Whites Adhoc	FALSE		FALSE	FALSE				0		FALSE	1/10/26						FALSE
Fold Whites Adhoc	FALSE		FALSE	FALSE				0		FALSE	1/10/26						FALSE
Put Away Whites Adhoc	FALSE		FALSE	FALSE				0		FALSE	1/10/26						FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash comforter	FALSE		FALSE	FALSE				60!		FALSE	8/29/26			3/27/2026			FALSE
Dry comforter	FALSE		FALSE	FALSE				60!		FALSE	8/29/26			3/27/2026			FALSE
Fold comforter	FALSE		FALSE	FALSE				60!		FALSE	8/29/26			3/28/2026			FALSE
Put away comforter	FALSE		FALSE	FALSE				60!		FALSE	8/29/26			3/28/2026			FALSE
Wash Duvet	FALSE		FALSE	FALSE				0		FALSE	3/27/26			3/27/2026			FALSE
Dry Duvet	FALSE		FALSE	FALSE				0		FALSE	3/28/26			3/28/2026			FALSE
Match Duvet Comforter	FALSE		FALSE	FALSE				0		FALSE	3/28/26	2		3/28/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash comforter Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Dry comforter Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Fold comforter  Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Put away comforter Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash delicates	FALSE		TRUE	FALSE				60!		TRUE	6/1			4/7/2026			FALSE
Hang Dry delicates	FALSE		TRUE	FALSE				60!		TRUE	6/1			6/1/2026			FALSE
Put away Hang Dry	FALSE		TRUE	FALSE				60!		TRUE	6/1			6/1/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash delicates Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Hang Dry delicates Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Put away Hang Dry Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Dirty Whites	FALSE		FALSE	FALSE				0		FALSE	5/6			4/6/2026			FALSE
Dry Dirty Whites	FALSE		FALSE	FALSE				0		FALSE	5/6			5/15/2026			FALSE
Fold Dirty Whites	FALSE		FALSE	FALSE				0		FALSE	5/6			5/17/2026			FALSE
Put Away Dirty Whites	FALSE		FALSE	FALSE				0		FALSE	5/6			5/17/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash heated blanket	FALSE		FALSE	FALSE				100!		FALSE	6/9			6/17/2026			FALSE
Dry Heated Blanket	FALSE		FALSE	FALSE				100!		FALSE	6/9			6/17/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Adult Bedding	FALSE		FALSE	FALSE				45!		TRUE	7/25			6/29/2026			FALSE
Replace Adult Bedding	FALSE		FALSE	FALSE				45!		TRUE	7/25			4/26/2026			FALSE
Dry Adult Bedding	FALSE		FALSE	FALSE				45!		TRUE	7/25			6/29/2026			FALSE
Put Away Adult Bedding	FALSE		FALSE	FALSE				45!		TRUE	7/26			4/27/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Adult Bedding Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Replace Adult Bedding Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Dry Adult Bedding Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Kids	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Eve's	FALSE		FALSE	FALSE				10!		TRUE	8/28			8/12/2026			FALSE
Dry Eve's	FALSE		FALSE	FALSE				10!		TRUE	8/28			4/4/2026			FALSE
Return Eve's	FALSE		FALSE	FALSE				10!		TRUE	8/28			8/12/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Eve's Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Dry Eve's Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
Fold Eve's Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
